GroupNumber    M200[Msol]    fdisk    fbulge    fihl    DtoT_30kpc    kappa_co_30kpc    f_gt_100kpc    f_gt_30kpc    f_gt_2r50    disk_t50    disk_r50    disk_sfr    bulge_t50    bulge_r50    bulge_sfr    ihl_t50    ihl_r50    ihl_sfr
73 1.128804e+13 0.000000e+00 6.295853e-01 3.704147e-01 1.422561e-01 1.760293e-01 1.626471e-01 4.125619e-01 3.399356e-01 nan nan nan 9.994003e+00 8.517279e+00 3.064589e+00 9.347218e+00 8.918301e+01 3.224352e-01
74 1.970162e+13 0.000000e+00 7.547707e-01 2.452293e-01 4.790247e-01 3.702669e-01 1.191789e-01 3.217385e-01 3.367368e-01 nan nan nan 9.455856e+00 8.696536e+00 2.881156e+00 9.945253e+00 9.259133e+01 6.998252e-02
75 1.375960e+13 1.539801e-01 5.717102e-01 2.743098e-01 2.239195e-01 2.537426e-01 9.859349e-02 2.558856e-01 3.218842e-01 4.180908e+00 8.770499e+00 4.718441e+00 1.104180e+01 5.779311e+00 1.038351e-01 1.061355e+01 6.413038e+01 1.146296e-01
76 1.474648e+13 0.000000e+00 7.186465e-01 2.813535e-01 4.669505e-01 4.666025e-01 1.973764e-01 2.966375e-01 3.464653e-01 nan nan nan 1.084681e+01 5.883588e+00 5.231487e+00 1.041164e+01 1.514471e+02 1.878340e-01
77 2.323858e+13 0.000000e+00 5.316024e-01 4.683976e-01 1.821237e-01 1.782693e-01 2.457289e-01 5.219724e-01 3.329278e-01 nan nan nan 9.553274e+00 1.218081e+01 5.229137e+00 8.955507e+00 1.050525e+02 6.024004e-01
78 1.884753e+13 0.000000e+00 7.262347e-01 2.737653e-01 1.933142e-01 2.432065e-01 1.586629e-01 3.976393e-01 3.555544e-01 nan nan nan 1.011184e+01 1.019206e+01 7.389613e-01 1.046286e+01 1.036033e+02 6.214628e-01
79 1.830504e+13 1.328067e-01 5.877890e-01 2.794043e-01 1.633008e-01 2.485304e-01 1.273085e-01 2.929454e-01 3.477591e-01 7.922266e+00 8.105244e+00 3.722931e+00 1.039467e+01 5.966658e+00 2.377521e-01 1.032348e+01 8.980630e+01 3.420950e-01
80 1.784507e+13 0.000000e+00 7.664814e-01 2.335186e-01 3.188352e-01 3.041167e-01 1.953836e-01 3.946033e-01 3.661697e-01 nan nan nan 1.000053e+01 1.047430e+01 4.878083e+00 1.003138e+01 1.421471e+02 4.574711e-01
81 2.001884e+13 0.000000e+00 7.141222e-01 2.858778e-01 5.066124e-01 4.354549e-01 2.272309e-01 3.305393e-01 3.486789e-01 nan nan nan 1.119222e+01 7.392794e+00 2.457210e+00 1.007001e+01 2.090760e+02 3.428743e-01
82 1.971766e+13 0.000000e+00 6.097399e-01 3.902601e-01 -1.603751e-01 1.543402e-01 1.256838e-01 3.425385e-01 3.455227e-01 nan nan nan 1.006219e+01 6.327367e+00 2.203645e+00 1.039771e+01 6.498050e+01 4.430915e-01
83 9.914031e+12 0.000000e+00 7.106501e-01 2.893499e-01 7.134638e-01 5.312818e-01 1.226794e-01 3.014313e-01 3.407048e-01 nan nan nan 9.065025e+00 7.159597e+00 2.966459e+00 8.282672e+00 8.432438e+01 2.050414e-01
84 1.887504e+13 1.995276e-01 6.168165e-01 1.836559e-01 2.524873e-01 2.389399e-01 1.191798e-01 3.259269e-01 3.467606e-01 8.802442e+00 4.633435e+00 3.821043e-02 1.030337e+01 1.081079e+01 2.743654e-01 1.022395e+01 8.706237e+01 9.417194e-02
85 1.780770e+13 3.346527e-01 4.403227e-01 2.250246e-01 4.144838e-01 3.654399e-01 1.337078e-01 3.361258e-01 3.505424e-01 7.943902e+00 7.612781e+00 3.644119e+00 1.014617e+01 1.083611e+01 4.652695e-01 1.019768e+01 7.671885e+01 5.579333e-01
86 1.790662e+13 0.000000e+00 6.920329e-01 3.079671e-01 1.069868e-01 1.867987e-01 1.515120e-01 4.289712e-01 3.497092e-01 nan nan nan 9.505844e+00 1.096595e+01 1.918033e+00 9.250804e+00 9.713199e+01 5.825229e-01
87 1.802968e+13 3.983986e-01 2.662230e-01 3.353784e-01 5.708567e-01 4.909154e-01 1.028007e-01 2.478370e-01 3.384833e-01 7.000463e+00 6.270965e+00 4.125677e+00 1.056924e+01 4.413947e+00 6.302737e-01 1.093025e+01 3.846817e+01 3.158731e-01
88 1.854922e+13 0.000000e+00 6.954966e-01 3.045034e-01 1.400594e-01 1.501373e-01 1.408055e-01 3.721233e-01 3.473041e-01 nan nan nan 1.059182e+01 8.640725e+00 3.266893e-01 9.795716e+00 9.225097e+01 2.387478e+00
